bedrooms,sqft_living,yr_built,price
2,1230,2004,460000
4,2331,2007,345000
5,2240,1978,455000
4,2450,1967,610000
4,3100,1996,563000
4,2060,1949,612500
3,1850,1979,218000
4,1840,1958,404000
4,3740,2000,860000
3,1420,1962,136500
3,1510,1940,313950
3,2130,1954,575000
4,3490,1928,1225000
3,1630,1971,280000
3,1790,1989,515000
4,2000,1996,513000
4,2260,1977,599000
4,3030,1999,685000
3,1310,1950,365000
4,3880,1987,762300
4,3760,1950,1580000
5,3040,1984,562000
5,2910,1964,530000
3,2970,1995,525000
2,1660,1942,484000
4,3200,1998,725126
4,2680,1965,360000
3,1230,1962,387000
4,2740,1995,483500
4,3380,2000,655500
3,1110,1956,345000
5,1800,1926,533000
3,1900,1982,385000
2,930,1951,675000
3,1690,1976,197000
3,1420,1905,485000
5,4510,1969,1870000
3,1980,1974,295000
2,1170,1903,499000
3,2200,2008,1050000
3,800,1959,191000
3,1480,2006,500000
5,2890,2006,390000
3,2690,2014,979000
4,3569,2013,580000
3,1270,2006,369950
5,4490,2013,1800000
4,3040,2008,776000
3,1170,2014,519950
5,2060,1962,255000
3,990,1943,495000
4,2430,2003,510000
4,4460,2001,1150000
3,1250,1994,253000
3,1540,1980,503000
3,1600,1993,275000
3,1110,1952,249000
3,1840,1974,310000
3,2520,1946,750000
3,2680,1995,630000
9,3830,1938,599999
4,2410,1956,758000
4,1720,1960,248500
3,2070,1973,310000
3,1760,1985,460000
3,1680,1959,675000
2,1550,1900,526000
3,4120,1994,560000
4,1830,1991,415000
3,1400,1944,246000
3,1870,1957,314500
7,6210,1910,3200000
2,1040,1904,420000
3,2720,1988,535000
3,1010,1981,350000
3,1580,1967,515000
4,2600,1949,749950
3,1920,1988,230000
3,2350,1929,568000
1,1100,1947,250000
4,2510,1961,581000
3,3240,1991,651000
3,2460,1977,600000
2,1010,1906,500000
2,820,1921,475000
5,2420,1978,352000
3,1770,1977,420000
2,1350,2003,428000
3,1960,1920,599000
4,3305,1922,492000
2,2550,2011,630000
5,4130,1985,900000
4,2310,1950,1110000
4,1650,1955,575000
4,2650,1905,705000
4,1890,1963,940000
3,2190,1967,313000
3,2030,1988,618080
3,2270,2002,640000
3,1610,1917,485000
2,760,1913,300000
2,1640,1978,379500
3,1630,1985,339950
6,3560,1914,1500000
3,2960,1937,1340000
3,1940,1987,500000
3,1410,1985,239900
3,1040,1968,314950
2,820,1944,361280
2,910,1956,100000
7,3700,1948,540000
4,2180,1968,480500
3,1600,2000,280000
3,1500,1947,440000
3,1340,1910,530000
3,1860,1985,560000
3,2540,1905,775000
2,1040,1912,160000
3,1380,1960,209950
3,1640,1988,226500
5,3000,1958,380000
4,2140,1968,409500
3,1760,1942,690000
3,1660,1961,405000
3,1830,1990,375000
4,2210,1954,794154
4,1490,1969,185000
3,1260,2005,245000
5,4270,2007,1532500
4,3900,2006,1040000
2,1150,2008,425000
4,2656,2014,495000
5,2410,2008,365000
3,1606,2009,417250
2,820,2006,339950
2,1540,1946,615000
3,2090,2012,403000
5,3160,1971,980000
4,1730,1977,258000
3,1670,1967,533000
4,2550,2005,537500
5,3040,1968,830000
3,1250,1900,712000
4,2020,2002,262000
4,2660,2003,753888
2,980,1922,134000
3,1960,1977,402000
2,720,1955,205000
2,1360,1997,553650
2,1870,2006,559950
4,2130,1962,260000
4,1810,1994,270000
2,2200,1973,295000
3,1690,1928,719000
3,1940,1989,266000
4,2320,2004,325900
4,2060,1947,647500
4,3410,1910,1039000
4,2250,1980,569000
3,1390,1975,246000
2,1060,1926,515000
3,1490,1954,207000
4,2480,1950,780000
5,2440,1975,489990
3,2240,1980,335000
3,1920,1993,295000
3,1890,1944,385000
4,2250,1940,350000
2,1270,1923,235000
2,960,1993,358000
4,3290,2002,716500
4,2000,1965,228000
2,1020,1948,405000
4,1840,1967,538000
3,1980,1973,530000
6,3510,1906,1750000
2,1230,1925,636000
4,2280,2004,535000
3,2430,1952,1500000
3,2920,2008,868500
4,2280,1930,530000
3,1510,1954,450000
3,950,1939,230000
3,1190,2002,229000
3,1310,1976,437000
5,2800,1932,1307000
3,1750,1991,595000
3,1320,1918,660000
4,2460,1989,347500
3,1240,1967,297950
3,1260,1955,245000
6,2820,1940,543200
4,3820,1990,1250000
3,1540,2008,413450
2,1550,1972,330000
3,1460,1979,424500
3,1390,1960,230000
3,2640,1912,930000
3,1590,1988,349000
4,1910,1941,835000
3,2015,2007,988500
3,1410,2012,500000
2,1110,2005,499000
2,860,2007,321950
3,2310,2011,494000
2,1020,2008,441750
2,980,2010,438000
4,4230,1989,985000
3,1640,1972,352000
4,3810,2013,839900
4,2790,1996,765000
4,1750,1926,460000
4,1430,1983,224500
3,1850,2003,254000
2,960,1984,255000
3,2480,1976,610000
4,3750,1976,920000
4,2600,1988,402500
3,1390,1912,280950
4,2260,1989,604000
4,2470,1984,565000
2,810,1928,255000
4,1650,1959,445000
3,3000,2001,2400000
2,720,1950,195000
3,1390,1922,275000
3,1445,2003,387000
2,1840,1910,490000
3,2100,1999,505000
3,1060,1973,303500
3,1500,1953,270000
4,1970,1977,323000
3,1410,2005,382000
4,3720,1962,1370000
4,2190,1977,280000
3,1920,1969,260000
3,1160,1959,201500
4,5860,1996,1157200
4,2000,1926,536500
4,2163,2006,248000
5,3480,1976,532000
4,2840,1998,580000
2,1150,1905,463000
4,3100,1919,742500
3,1420,1963,260000
4,2430,1993,590000
4,1930,1984,312000
3,1660,1980,566000
3,1400,1963,511555
4,2660,2001,583000
4,2000,1968,290000
4,2130,1977,311100
3,1352,2007,325000
3,1750,1987,491300
5,2320,1956,315000
2,1420,1956,360000
4,1940,2003,330000
3,1410,1940,481450
3,1360,1977,234950
3,1220,1962,251000
4,2830,1979,782000
4,3780,1999,833000
4,2330,1978,542500
3,3560,1987,851000
4,1470,1976,325000
4,3060,1992,415000
3,1030,1947,252500
4,1930,1968,465000
3,1780,1979,336900
3,2000,1992,225000
3,1690,1969,270000
5,5190,1987,1702500
3,1300,1925,536000
4,2400,1982,585000
2,1150,1940,445000
4,2310,1980,320000
4,2730,2006,769900
4,2840,2012,557000
2,1020,2004,212000
3,1340,2008,376000
4,3540,2007,800000
5,7270,2010,2238888
3,998,2007,324000
5,3060,1979,549900
3,2130,2003,320000
4,2520,1921,875000
4,1940,1962,265000
3,1350,2006,394950
4,2160,1902,842500
3,1370,2007,368000
4,5420,2001,1225000
4,2830,1995,885000
3,2010,2014,453246
4,3300,1953,927000
2,1230,2004,490000
3,1720,1952,341000
1,810,1941,235000
3,1560,1928,1200000
3,2560,1986,560000
4,4700,1978,900000
2,1220,1910,255000
5,3650,1975,1575000
3,2170,1928,876650
4,2540,1990,540000
2,910,1906,350000
4,2980,2000,750000
4,2120,1951,582000
4,3460,2004,1315000
5,2480,2004,372500
3,2200,1987,410000
4,1730,1943,360000
3,2920,1954,1015000
3,990,1966,225000
4,3040,1999,647000
5,4530,2003,950000
3,1370,1961,185000
3,1940,2004,335000
3,1040,2004,210000
4,1800,1980,522000
3,1720,1954,770000
3,980,1941,499950
4,3110,2004,751000
5,2100,2013,330000
3,2020,1956,465000
4,2350,1961,850000
4,3290,1968,947500
5,2180,1986,302000
2,1290,2007,500000
3,1460,1969,201000
2,1290,2008,265000
4,2350,1910,870300
3,1080,1955,339000
4,2670,1989,690000
4,3680,2003,788000
3,1440,1951,315275
4,1940,1922,505000
3,1280,1968,368000
3,2980,1917,947500
3,970,1959,156000
4,2110,1930,610000
2,1480,2009,420000
2,700,1953,192000
3,2700,1962,910000
4,2330,1918,1300000
5,3380,1963,1346400
4,2600,1936,840000
2,1360,1975,300000
4,2780,1978,505000
3,1250,1945,110000
3,2620,1992,746000
3,1350,1941,211000
4,2400,1964,675000
4,2760,1928,734200
4,3070,1976,1225000
2,2040,1919,615000
4,1770,1911,630000
4,3490,2012,1264000
2,830,2005,301500
2,980,2009,369000
3,1570,2010,635000
4,3270,2014,1033888
4,2160,2010,383000
4,3280,2008,1050000
4,3360,2001,455000
5,3150,2013,819900
3,1810,2009,625000
4,2740,1993,651000
5,3830,1976,480000
3,3190,2007,757000
3,2350,1977,460000
4,2510,1972,267345
2,1680,2006,530000
3,1770,1954,449500
3,1090,1981,289000
5,3001,2006,373000
5,2450,1994,525000
3,3610,2003,777000
4,2250,1956,550000
3,1240,1957,523000
4,2260,1958,628000
4,2090,1963,581000
5,2020,1962,245000
3,1960,1911,415000
5,3120,1969,1895000
3,1250,1967,225000
3,1490,1987,287000
6,2890,1906,799200
3,1900,1942,239950
3,1680,1922,591000
3,2030,1975,700000
4,3740,2004,475000
3,1580,1951,575000
3,1780,1927,771000
2,910,1943,155000
7,3440,1970,550000
3,1740,1975,645000
5,3400,1959,464000
4,4400,2003,1050000
3,2010,1977,350000
4,2710,1977,591000
4,5300,1923,2555000
3,1310,1956,717000
4,1950,1939,225000
3,1040,1947,225000
3,1090,1968,345000
2,650,1931,230000
3,1480,1943,385000
2,790,1973,90000
4,3560,1986,860000
4,3000,2006,675000
4,3490,2000,975000
3,2340,1967,780000
3,1650,1951,370000
3,1940,1944,665000
5,3410,1968,675000
3,1710,1909,620000
4,2740,1905,1105000
3,1250,2010,450000
3,2450,1978,450000
3,1690,1958,530000
4,1950,1969,635000
5,2290,1964,580000
5,3370,1982,1550000
3,1090,1973,285000
3,1190,1953,375000
5,3530,2001,1400000
3,1440,1910,560000
4,2180,1956,405000
4,1410,1925,413000
3,1950,1990,287600
5,4860,1989,1680000
3,1660,1963,225000
3,1390,1968,319000
3,1350,1989,322500
3,1530,1937,570000
3,1270,1950,465000
4,2140,2002,435000
4,2040,2012,502000
3,2876,2007,525000
3,1580,2008,525000
4,3400,2012,660000
4,3520,2006,870000
4,2210,2013,650000
4,2790,2009,505000
3,1450,2007,330000
4,1620,1947,385000
3,1220,2007,306000
3,2000,1921,546000
4,2190,1958,925000
4,1900,1955,542000
3,1700,1906,800000
5,2540,1929,620000
2,1170,1911,175000
5,5774,1984,740000
3,2120,1984,345000
3,2170,1986,510000
4,2450,1974,530000
2,700,1952,155000
3,1780,1986,266000
3,1850,1952,257200
3,1570,1998,265000
3,1290,1951,372220
5,1700,1956,337500
2,1159,1948,582500
3,1850,1965,489200
2,840,1947,405100
3,1690,2014,372977
3,1050,1953,310000
3,1400,1904,538000
3,2550,1981,1400000
3,1840,2012,317000
3,2360,1926,702500
4,2240,1989,565000
4,2700,2004,723000
3,3030,1992,766950
3,1830,1903,682000
3,2220,1990,325000
3,2090,1962,543000
3,1600,1924,525000
4,2010,1957,364000
2,830,1955,394475
4,2010,1995,316000
3,1050,1906,339950
4,2150,1978,486000
3,860,1963,160000
3,3100,1954,930000
3,1100,1978,139000
3,1830,1957,562000
2,1250,1950,299000
3,1820,2005,511000
3,2090,1959,499000
3,2100,1980,356000
4,2310,1991,470000
4,2060,1941,715000
4,4470,1988,1120000
3,1660,1940,458000
5,3810,2008,966000
3,2110,1966,305495
2,2370,1992,543000
3,1970,1997,340000
4,2470,1993,633100
3,1480,1952,310000
5,2257,2005,349950
2,700,1949,267800
4,1630,1975,234000
4,3430,2000,740000
5,2220,1923,607500
3,1340,1973,223000
2,980,1918,400000
3,2580,1986,802000
4,2230,2006,253000
4,2290,1955,1058000
3,1260,1946,300000
4,1680,1966,625000
4,3200,2004,707000
4,3320,1995,950000
4,3040,1999,420000
4,2270,1973,498000
3,2910,1989,450000
5,2510,1972,955000
2,1240,1967,215000
3,2580,2008,437000
3,2470,2007,773000
4,4910,2007,1222500
3,1690,2003,256883
4,2240,1983,592500
3,1650,1979,252350
4,2710,1998,370000
3,1260,1959,465750
3,1150,1932,185000
4,2550,1986,582800
3,1490,1990,245000
4,2020,1963,302000
2,1320,1912,451555
3,1230,1957,250000
4,2070,1989,255000
4,2930,1947,840000
3,1090,1967,190000
3,1400,1957,349950
4,1550,1909,613000
3,1220,1955,300000
3,1870,1980,455000
3,2150,1991,335000
3,980,1903,197500
3,1490,1963,412500
3,1120,1955,395300
3,1180,1986,342400
4,3240,1985,749400
4,2150,1991,316500
3,2240,1996,390000
3,1400,1979,225000
3,1980,1980,550000
3,1330,1959,280000
4,3200,2006,1255000
2,1490,1946,575000
5,3920,1990,1000000
5,2000,1921,585000
4,2680,1989,620000
4,1670,1967,204700
4,3150,2001,695000
4,2740,2003,689900
4,1890,1960,375000
7,2870,1961,475000
3,1160,1969,215000
4,3550,1962,2100000
3,1790,1940,790000
3,1680,1940,350000
3,4560,1986,695000
3,1590,1991,263000
3,1630,1953,400000
3,2700,1991,525000
3,1700,1994,349950
4,3740,1988,1085000
4,1980,1941,744000
2,880,1919,312500
3,1400,1948,240000
4,2050,1941,495000
3,2360,1996,580050
4,2560,1947,640000
3,1340,1956,417000
3,1060,1970,174950
3,850,1986,295000
4,1880,1976,423000
3,1230,1955,839000
4,2290,1960,343000
3,1660,1946,467000
3,1840,1997,512500
4,3020,1979,575000
3,1410,1924,465000
3,1010,1969,270000
3,1960,1948,340000
5,3580,1999,765000
4,2240,1995,497000
4,3310,2004,803100
3,1232,2007,344000
4,3930,2013,828950
3,1720,2010,386380
3,1490,2009,312000
3,3150,2007,720000
4,3950,2013,914500
5,3030,2013,819995
2,1070,1985,252700
3,2320,1992,437500
1,700,1942,350000
3,2720,2005,619000
3,1800,1990,408200
3,1560,1926,451000
3,1760,1977,317000
4,3120,2005,799000
2,2020,1947,720000
3,1450,1900,490000
4,1860,1979,239900
4,2270,1977,446000
3,1480,1987,275000
5,1460,1941,239950
4,1850,1986,248000
3,2170,2003,619500
3,1726,1982,363750
3,1180,1981,385000
4,1370,1972,370000
3,2670,1988,425000
3,1260,1944,342000
4,1980,1962,345000
3,2050,1926,724800
5,2830,2006,725000
2,910,1909,605000
4,2440,2009,350000
3,2180,1904,785000
3,1900,1966,250000
3,1520,2013,565000
3,2220,1947,875000
4,3280,1996,862500
3,2740,1973,400000
2,830,1954,282613
2,1010,1955,174500
3,2060,1978,306500
3,1990,1984,445000
4,2280,2001,433000
3,1870,2005,306000
3,1720,1921,620000
2,870,1941,245000
3,1020,2004,238000
3,1260,1931,523000
3,2370,2003,522500
3,1000,1940,180000
3,1100,2007,375000
3,1440,1982,249000
4,3120,2003,730100
2,2260,1990,551000
4,2790,2005,375000
1,1140,1920,540000
3,1290,1987,605000
5,1730,1978,205000
4,3160,1983,645000
4,2340,2003,314000
3,1170,1960,330000
2,1160,1937,490000
3,1970,2010,445000
5,6490,1991,2000000
3,1410,2005,377500
4,2430,2009,480000
5,3360,2014,804995
3,1480,2012,341000
5,3200,2009,675000
3,2134,2008,611000
3,1860,2007,379950
4,5520,2008,1270000
2,1310,2006,500000
3,1700,1944,410000
3,2480,1986,415000
5,1970,1994,297000
4,2060,1985,575550
3,2130,1994,534640
3,1410,1987,352500
2,1360,1944,488000
3,1940,1954,732000
2,1610,1979,215000
2,1420,1928,592500
4,1700,1988,290000
2,1490,1929,475000
3,2680,1990,320000
4,3190,1967,1216000
5,2120,1962,290000
4,1690,1901,487250
4,1830,2003,339000
2,1010,1906,440000
4,2070,1945,366500
3,1710,1928,462000
4,1660,1945,560000
4,2080,1955,285000
3,1270,1993,280000
3,1080,1942,210000
3,1610,1940,690000
2,1120,1980,256500
4,2500,1966,411000
3,970,1970,215000
5,3370,1907,762000
3,1290,1960,359950
4,3370,2005,480000
4,3410,2008,1405000
4,2490,1999,390000
2,770,1924,413500
1,810,1982,285000
4,3060,1968,475000
3,1690,2014,386591
3,1890,1974,524950
2,1470,2005,241000
2,1060,1926,461000
4,3480,1988,810000
4,2730,1921,885000
3,1580,1986,247000
3,2170,1978,296500
2,930,1942,141800
4,1580,1906,333000
5,3290,1973,602000
4,2110,1979,565000
3,1670,1999,373000
3,2030,1977,588000
3,1500,1926,485000
3,1450,2005,482500
4,1310,1953,251200
5,4180,1979,869000
3,1630,1967,464000
4,2660,1993,755000
3,1720,2005,280000
2,1260,2004,485000
3,1610,1981,305000
2,680,1941,110700
4,2640,1937,850000
3,1640,1985,350000
4,2310,1976,319950
3,2010,1912,700000
2,1660,1908,368000
3,2200,2009,433500
4,2460,1998,611000
2,2430,1951,1000000
3,1370,1960,307000
3,1800,1967,442500
3,2200,1908,485000
2,700,1945,367000
3,1920,1995,429000
5,2190,1978,446000
3,2030,1984,572500
3,1350,2005,477000
3,1680,2008,518000
5,1250,1966,462000
4,2240,1914,1190000
3,950,1954,137000
3,2320,1997,530000
2,2380,2011,818000
2,1540,2007,640000
5,2100,2007,298450
4,2500,2013,575000
4,3230,2004,730000
3,2830,2001,551000
2,870,1906,271310
4,2690,1954,675000
3,1260,2008,479000
4,2680,1942,520000
3,2660,2014,599950
2,1480,1951,483945
4,1770,1965,390000
2,950,1926,192500
2,860,1948,330000
4,1960,1978,250000
2,1770,1943,243000
4,1280,1926,575000
4,2150,1982,639000
2,1790,1923,710000
3,1990,1987,675000
5,2430,2001,405000
4,2820,1965,615000
3,1910,1946,490000
3,1270,2005,467000
4,2050,1986,480000
6,2150,1952,755000
4,2450,1987,760000
2,1230,2012,387000
4,2260,1967,925000
2,1050,1943,415000
3,1570,1982,263000
4,1820,1967,519900
2,1540,1908,570000
3,2060,1953,450000
4,4380,2001,1300000
3,1090,1955,300000
3,1480,1965,320000
4,1320,1929,387500
1,2140,1976,458000
4,4560,1995,1212500
4,2800,2002,380000
3,1050,1967,200000
3,1490,1959,385000
2,1730,1945,396675
4,1210,1900,452000
4,2800,2004,426000
3,1570,1915,792000
3,1400,1987,315000
4,2850,1970,1275000
6,1880,1966,326000
2,790,1953,268500
2,1300,1948,440000
3,2120,1967,300000
3,1540,1941,525000
4,2620,1926,978000
6,2880,1919,1125000
4,1680,1921,700000
2,790,1955,315000
3,1092,1918,309000
3,1650,1967,219950
3,2090,2002,289000
4,2180,1950,210000
4,1990,1989,260000
4,2650,2006,699000
4,4460,1962,1800000
3,910,1950,299950
3,2770,1992,749950
3,2390,1939,1100000
3,3050,1987,555000
3,1700,2003,384000
5,3200,1989,499950
3,1200,1906,430000
4,2220,1999,350000
3,2480,2004,620000
4,2560,1976,765000
4,2500,1961,250000
2,1150,1947,376000
4,1650,1950,475000
3,1140,1969,120750
3,3400,1957,1690000
3,1180,1959,330000
3,1700,1992,619500
3,1240,1954,345000
5,2890,1977,598000
3,1060,1967,335000
4,1590,1922,372500
6,2860,1978,300000
1,820,2007,194000
3,2020,1963,507500
4,1870,1959,325000
3,2170,2004,329900
4,1600,1947,329000
4,2090,1925,494000
4,1700,1978,206000
4,1940,1941,423000
3,1320,1957,259000
4,3500,1938,879950
5,2800,1903,345600
3,1080,1920,395000
4,3550,2007,625000
3,2010,2003,439000
3,1690,2008,380000
3,1270,2007,440000
3,1970,2008,415000
4,3160,2014,860000
3,1210,2008,500000
4,3120,2008,953007
4,2670,2006,515000
3,1640,2014,772000
4,2303,2013,329995
3,1800,2014,409316
5,4460,2013,490000
2,1590,2009,305000
4,3070,2009,785000
2,1330,1993,240000
3,990,1947,325000
4,1900,1994,535800
3,2020,2000,720000
3,2000,1961,374000
2,1100,1980,189650
1,960,1945,420850
4,3488,1998,815000
2,1890,1987,1065000
4,2030,1950,199000
3,1380,1981,195000
4,3660,1909,1506000
3,1870,1997,288400
4,2080,1979,442000
4,2450,1988,619420
4,2750,1948,635000
3,1240,1916,210000
3,1900,1990,512500
3,2540,1999,567000
3,2100,1998,525000
4,1790,1909,475000
3,1170,1984,250000
3,1060,1956,220000
5,1930,1941,230000
3,1540,1961,385500
5,2876,1973,895000
3,2150,1988,368250
2,1140,1947,249900
3,980,1969,350000
3,1230,1962,175000
3,1390,1957,270000
3,2380,1997,495000
3,3690,2007,1580000
5,3010,1931,542500
3,1250,1969,330000
4,2290,1926,1003000
2,790,1925,299800
3,2720,2002,299900
4,2550,1972,691000
2,1080,1972,195000
3,2470,1962,405000
2,850,1909,360000
3,1990,1969,256750
3,1800,1995,332500
5,4850,1977,975000
3,1020,1956,218000
3,2420,1985,429000
4,2910,1998,589000
3,1060,1973,255000
4,2340,1964,668750
4,1800,2002,344500
4,1660,1945,452000
3,1300,1983,540000
3,1780,1953,246000
2,1030,1939,535000
4,2790,1963,970000
3,1150,1906,430000
4,3290,1992,520000
4,3400,2001,712000
2,1200,1940,450000
4,2160,1993,220000
3,1450,1948,525000
4,3240,2008,1220000
3,1470,2007,540000
4,2360,2001,600000
3,2230,1987,600000
4,2630,1986,625000
3,1010,1966,150000
3,1445,2003,389999
3,2380,1935,285000
4,2830,1998,744000
4,3010,1996,700000
4,2000,1978,318989
3,2020,1998,556000
3,2030,1993,275000
3,2550,1994,430000
2,970,1949,300000
3,1540,1967,396450
2,1396,1940,225000
4,2780,2006,700000
6,2220,1977,260000
4,2350,1994,655000
3,2760,1978,1185000
3,4460,1992,1550000
3,1440,2007,413800
5,5330,2006,950000
4,2220,2014,334990
5,5305,2005,2700000
3,3880,2009,1030000
4,3810,2007,1130000
3,1960,2007,556000
3,1530,2009,360000
4,3250,1983,480000
3,1750,1994,324000
4,3440,1983,1050000
1,1170,1962,275000
3,870,1969,180000
4,2930,1998,749000
3,3160,1966,1600000
2,800,1918,373500
4,2350,1987,770000
2,1060,1977,356000
3,2060,1984,625000
2,1560,1904,494400
4,3000,1950,585000
3,1660,1907,926300
3,1650,1908,600000
4,3220,1990,430000
3,2320,1976,307000
4,2750,1981,604700
3,910,1956,219900
2,840,2005,270000
3,1470,2007,432000
6,2040,1943,300000
3,1100,1922,361000
2,940,1959,249950
3,1110,1978,320000
4,2200,1942,305000
2,2860,1948,503000
2,740,1938,235750
4,2740,1954,657000
3,1250,1956,385000
4,3140,1991,389950
2,820,1954,150000
4,2570,1998,254500
4,2350,1977,555000
4,3600,1976,1075000
4,1580,1967,245000
2,1070,1949,319950
3,1070,1951,337000
4,1640,1907,492000
3,2890,1987,1170000
3,1220,1966,348580
2,1400,1922,180000
3,1040,1942,400000
4,980,1978,295000
4,3340,1963,910000
6,6040,1996,1150000
3,1900,2008,431500
4,1740,1962,180000
3,2000,1916,677000
3,1610,1973,1180500
4,3240,1977,635700
5,2230,1978,482000
2,1160,1998,168000
4,2410,1950,805000
2,590,1983,398000
4,2600,1996,665000
4,2170,1968,592500
4,2080,1912,940000
4,2860,1999,655000
4,2980,2000,622500
2,1230,2011,380000
4,2260,1947,648360
3,2200,1982,432000
4,3030,1988,1050000
2,1060,1979,353250
4,4260,1996,1000000
3,998,2007,320000
4,2052,2014,349900
4,3150,2005,330000
3,1950,2006,408000
3,1347,2010,321000
4,3860,2007,1051000
4,5060,2008,2150000
3,1360,2008,359000
5,2760,2006,300000
5,2420,2013,380000
3,2450,2010,660000
3,1280,2005,355000
3,1550,2011,259000
1,550,2008,353000
2,1520,2007,430000
3,1670,1939,460000
1,430,1912,80000
4,2380,1991,782000
3,960,1982,218000
3,1920,1952,325000
4,3680,1967,980000
4,2530,1976,902000
5,3840,1991,556000
3,1240,1926,662990
2,1300,1975,225000
4,2380,2002,439950
2,1300,1958,175000
2,780,1946,306000
4,1810,1970,235000
3,2420,1911,399500
3,1280,1910,478000
2,1680,1941,515000
3,2510,1992,550000
3,1700,1955,149000
3,1680,1992,526000
1,820,1999,527550
3,4380,1983,1050000
3,2600,1984,625000
5,3400,1999,950000
5,2120,1942,377691
4,2250,1951,648475
3,1800,1942,383000
3,2210,1994,535000
3,1560,1923,449950
4,2430,1967,465425
4,2560,1987,675000
3,1960,1926,599000
3,1110,1963,416000
2,1030,1924,595000
4,1350,1966,200000
3,1540,2005,402000
4,1830,1966,433000
4,1930,1979,275000
3,1650,1983,410000
4,3510,1965,554820
4,3370,1988,1325000
3,2390,1984,735000
3,1230,1951,607000
4,2830,1987,549900
3,1620,1988,258000
4,2290,1940,661254
4,2840,1952,945000
4,4220,1993,799950
3,1080,1967,132500
3,1620,1973,467100
